epoch,loss,lr,val_cm,train_cm,test_cm,val_accuracy,test_accuracy
89,0.07932390426140044,1.0408804957535738e-06,"[[896   1]
 [  4 837]]","[[1918   80]
 [  66 1990]]","[[682   1]
 [  2 681]]",99.71231300345224,99.78038067349927
90,0.08534963810234332,9.88836470965895e-07,"[[896   1]
 [  0 841]]","[[1918   80]
 [  78 1978]]","[[683   0]
 [  0 683]]",99.94246260069045,100.0
91,0.08018713809724431,9.393946474176003e-07,"[[896   1]
 [111 730]]","[[1917   81]
 [  63 1993]]","[[683   0]
 [110 573]]",93.55581127733026,91.94729136163983
92,0.08288809729856439,8.924249150467202e-07,"[[894   3]
 [  0 841]]","[[1916   82]
 [  57 1999]]","[[678   5]
 [  1 682]]",99.82738780207134,99.56076134699853
93,0.07074845515307973,8.478036692943841e-07,"[[896   1]
 [  0 841]]","[[1930   68]
 [  58 1998]]","[[683   0]
 [  3 680]]",99.94246260069045,99.78038067349927
94,0.07194012161926368,8.054134858296649e-07,"[[896   1]
 [  0 841]]","[[1932   66]
 [  54 2002]]","[[682   1]
 [  4 679]]",99.94246260069045,99.63396778916545
95,0.07014282091404314,7.651428115381816e-07,"[[894   3]
 [  0 841]]","[[1931   67]
 [  77 1979]]","[[678   5]
 [  1 682]]",99.82738780207134,99.56076134699853
96,0.08024982581264342,7.268856709612725e-07,"[[897   0]
 [  0 841]]","[[1907   91]
 [  59 1997]]","[[682   1]
 [  0 683]]",100.0,99.9267935578331
97,0.08332278524176222,6.905413874132088e-07,"[[896   1]
 [  4 837]]","[[1926   72]
 [  79 1977]]","[[681   2]
 [  5 678]]",99.71231300345224,99.48755490483163
98,0.07344133721198887,6.560143180425484e-07,"[[896   1]
 [  1 840]]","[[1944   54]
 [  82 1974]]","[[680   3]
 [  4 679]]",99.8849252013809,99.48755490483163
99,0.069985355832614,6.232136021404209e-07,"[[896   1]
 [  2 839]]","[[1928   70]
 [  55 2001]]","[[683   0]
 [  8 675]]",99.82738780207134,99.41434846266472
100,0.0776653709472157,5.920529220333999e-07,"[[895   2]
 [  3 838]]","[[1920   78]
 [  58 1998]]","[[683   0]
 [  8 675]]",99.71231300345224,99.41434846266472
101,0.06852512006298639,5.624502759317298e-07,"[[897   0]
 [  0 841]]","[[1938   60]
 [  62 1994]]","[[680   3]
 [  0 683]]",100.0,99.78038067349927
102,0.07387955990270711,5.343277621351433e-07,"[[895   2]
 [  0 841]]","[[1932   66]
 [  67 1989]]","[[681   2]
 [  1 682]]",99.8849252013809,99.78038067349927
103,0.07148099548066965,5.076113740283861e-07,"[[895   2]
 [  0 841]]","[[1923   75]
 [  65 1991]]","[[681   2]
 [  1 682]]",99.8849252013809,99.78038067349927
104,0.07902651690528727,4.822308053269667e-07,"[[894   3]
 [  0 841]]","[[1922   76]
 [  60 1996]]","[[679   4]
 [  1 682]]",99.82738780207134,99.63396778916545
105,0.0758074929763097,4.581192650606184e-07,"[[897   0]
 [  2 839]]","[[1920   78]
 [  80 1976]]","[[683   0]
 [  3 680]]",99.8849252013809,99.78038067349927
106,0.06977922398073134,4.3521330180758747e-07,"[[896   1]
 [  0 841]]","[[1916   82]
 [  50 2006]]","[[682   1]
 [  0 683]]",99.94246260069045,99.9267935578331
107,0.08011181771871631,4.1345263671720807e-07,"[[894   3]
 [  0 841]]","[[1917   81]
 [  60 1996]]","[[679   4]
 [  0 683]]",99.82738780207134,99.70717423133236
108,0.06540749134728685,3.9278000488134764e-07,"[[893   4]
 [  0 841]]","[[1939   59]
 [  62 1994]]","[[678   5]
 [  1 682]]",99.76985040276179,99.56076134699853
109,0.07432974438415842,3.7314100463728023e-07,"[[896   1]
 [  0 841]]","[[1921   77]
 [  49 2007]]","[[683   0]
 [  2 681]]",99.94246260069045,99.85358711566617
110,0.0664696514068055,3.544839544054162e-07,"[[895   2]
 [  0 841]]","[[1939   59]
 [  61 1995]]","[[682   1]
 [  2 681]]",99.8849252013809,99.78038067349927
111,0.06522989658697043,3.367597566851454e-07,"[[895   2]
 [  0 841]]","[[1940   58]
 [  57 1999]]","[[682   1]
 [  0 683]]",99.8849252013809,99.9267935578331
112,0.07607583842764143,3.199217688508881e-07,"[[896   1]
 [  2 839]]","[[1920   78]
 [  63 1993]]","[[683   0]
 [  3 680]]",99.82738780207134,99.78038067349927
113,0.07554931128106547,3.0392568040834367e-07,"[[895   2]
 [  0 841]]","[[1925   73]
 [  61 1995]]","[[681   2]
 [  0 683]]",99.8849252013809,99.85358711566617
114,0.06697738432558255,2.887293963879265e-07,"[[896   1]
 [  0 841]]","[[1938   60]
 [  69 1987]]","[[683   0]
 [  1 682]]",99.94246260069045,99.9267935578331
115,0.0677457652782323,2.7429292656853013e-07,"[[894   3]
 [  0 841]]","[[1934   64]
 [  72 1984]]","[[679   4]
 [  3 680]]",99.82738780207134,99.48755490483163
116,0.07281847062404269,2.605782802401036e-07,"[[895   2]
 [  0 841]]","[[1915   83]
 [  53 2003]]","[[682   1]
 [  2 681]]",99.8849252013809,99.78038067349927
117,0.07598032658279409,2.475493662280984e-07,"[[897   0]
 [  1 840]]","[[1922   76]
 [  62 1994]]","[[683   0]
 [  4 679]]",99.94246260069045,99.70717423133236
118,0.07340177573496477,2.3517189791669347e-07,"[[896   1]
 [  0 841]]","[[1922   76]
 [  69 1987]]","[[677   6]
 [  3 680]]",99.94246260069045,99.3411420204978
119,0.06385164694802371,2.234133030208588e-07,"[[897   0]
 [  3 838]]","[[1933   65]
 [  57 1999]]","[[683   0]
 [  4 679]]",99.82738780207134,99.70717423133236
120,0.06195304842549376,2.1224263786981584e-07,"[[895   2]
 [  1 840]]","[[1934   64]
 [  60 1996]]","[[682   1]
 [  1 682]]",99.82738780207134,99.85358711566617
121,0.07523665980261285,2.0163050597632503e-07,"[[895   2]
 [  1 840]]","[[1925   73]
 [  60 1996]]","[[682   1]
 [  0 683]]",99.82738780207134,99.9267935578331
122,0.07603588927304372,1.9154898067750878e-07,"[[896   1]
 [  2 839]]","[[1936   62]
 [  78 1978]]","[[683   0]
 [  4 679]]",99.82738780207134,99.70717423133236
123,0.07727800043358003,1.8197153164363334e-07,"[[897   0]
 [  1 840]]","[[1938   60]
 [  83 1973]]","[[683   0]
 [  3 680]]",99.94246260069045,99.78038067349927
124,0.0738695190666476,1.7287295506145167e-07,"[[896   1]
 [  4 837]]","[[1941   57]
 [  75 1981]]","[[681   2]
 [  6 677]]",99.71231300345224,99.41434846266472
125,0.06741098102065735,1.6422930730837908e-07,"[[895   2]
 [  0 841]]","[[1939   59]
 [  69 1987]]","[[680   3]
 [  0 683]]",99.8849252013809,99.78038067349927
126,0.07534543747897259,1.560178419429601e-07,"[[895   2]
 [  0 841]]","[[1921   77]
 [  59 1997]]","[[680   3]
 [  0 683]]",99.8849252013809,99.78038067349927
127,0.0602796581661096,1.482169498458121e-07,"[[895   2]
 [  0 841]]","[[1934   64]
 [  46 2010]]","[[681   2]
 [  4 679]]",99.8849252013809,99.56076134699853
